"TRIP_ID","area_1","area_2","area_3","area_4","area_5","area_6","area_7","area_8","area_9","area_10","area_11","area_12","area_13","area_14","area_15"
981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8280,NA,8280
989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947820,NA,947820
990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41040,NA,41040
991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467100,NA,467100
992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900,NA,99900
995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33840,NA,33840
996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15660,NA,15660
997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42480,NA,42480
998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41280,NA,41280
999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26460,NA,26460
1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,15300
1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20160,NA,20160
1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12840,NA,12840
1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26640,NA,26640
1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21600,NA,21600
1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32760,NA,32760
1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430080,NA,433380
1010,NA,NA,NA,NA,NA,5040,NA,21120,NA,NA,NA,NA,NA,NA,35580
1012,NA,NA,NA,NA,NA,78180,NA,NA,NA,NA,NA,NA,NA,NA,78180
1014,NA,NA,NA,NA,NA,49920,NA,NA,NA,NA,NA,NA,NA,NA,49920
1015,NA,NA,NA,NA,NA,704340,NA,NA,NA,NA,NA,NA,NA,NA,704340
1016,NA,NA,NA,NA,NA,1108680,NA,NA,NA,NA,NA,NA,NA,NA,1108680
1017,NA,NA,NA,NA,NA,118320,NA,NA,NA,NA,NA,NA,NA,NA,751020
1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194580
1019,NA,NA,NA,NA,NA,7560,NA,NA,NA,NA,NA,NA,NA,NA,1294440
1020,NA,NA,NA,NA,NA,65520,NA,NA,NA,NA,NA,NA,NA,NA,66060
1023,NA,NA,NA,NA,NA,77400,NA,NA,NA,NA,NA,NA,NA,NA,77400
1024,NA,NA,NA,NA,NA,79020,NA,NA,NA,NA,NA,NA,NA,NA,79020
1025,NA,NA,NA,NA,NA,68940,NA,NA,NA,NA,NA,NA,NA,NA,68940
1026,NA,NA,NA,NA,NA,8820,NA,NA,NA,NA,NA,NA,NA,NA,8820
1028,NA,NA,NA,NA,NA,91800,NA,NA,NA,NA,NA,NA,NA,NA,91800
1030,NA,NA,NA,NA,NA,7740,NA,NA,NA,NA,NA,NA,NA,NA,7740
1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6900
1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135300
1034,NA,NA,NA,NA,NA,NA,NA,NA,NA,152340,NA,NA,NA,NA,195300
1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000
1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86940
1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,144060,NA,NA,NA,NA,159180
1038,NA,82020,NA,NA,NA,NA,NA,NA,NA,375360,NA,NA,NA,NA,787800
1039,NA,NA,NA,NA,NA,537960,NA,NA,NA,NA,NA,NA,NA,NA,679500
1040,NA,NA,NA,NA,NA,92340,NA,NA,NA,NA,NA,NA,NA,NA,92340
1041,NA,NA,NA,NA,NA,1483380,NA,NA,NA,NA,NA,NA,NA,NA,1486260
1042,NA,NA,NA,NA,NA,323100,NA,NA,NA,NA,NA,NA,NA,NA,323100
1043,NA,NA,NA,NA,NA,98640,NA,NA,NA,NA,NA,NA,NA,NA,98640
1044,NA,NA,NA,NA,NA,17820,NA,NA,NA,NA,NA,NA,NA,NA,40440
1045,NA,NA,20880,NA,NA,NA,NA,NA,25620,NA,NA,NA,NA,NA,51660
1046,NA,NA,118920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121140
1047,NA,NA,188040,NA,NA,NA,20160,NA,NA,NA,NA,NA,NA,NA,311400
1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,288960,NA,NA,NA,NA,385980
1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,20880,NA,NA,NA,NA,22080
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39180,NA,NA,NA,273840
1054,NA,NA,NA,NA,NA,NA,6660,NA,NA,NA,NA,NA,NA,NA,8640
1055,NA,NA,NA,NA,NA,NA,116460,NA,NA,NA,NA,NA,NA,NA,128640
