TRIP_ID,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,MMSI,VESSEL_TYPE
1052,NA,NA,NA,NA,NA,NA,470400,NA,NA,NA,NA,NA,NA,NA,472320,246130000,Offshore Supply Ship
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22080,246246000,General Cargo
1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320,NA,NA,NA,18360,246661000,Heavy Load Carrier
1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147360,246719000,General Cargo
1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49920,NA,NA,NA,124920,247118800,Tanker
1057,NA,120420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124440,247118800,Tanker
1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15780,NA,NA,NA,19680,247189500,General Cargo
1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166200,247191500,Fire Fighting Vessel
1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12900,247191500,Fire Fighting Vessel
1065,NA,NA,NA,NA,1347060,NA,NA,NA,NA,NA,NA,NA,NA,NA,1351980,248428000,Passenger
1066,NA,NA,NA,NA,118800,NA,NA,NA,NA,NA,NA,NA,NA,NA,118800,248428000,Passenger
1067,NA,NA,91680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94140,248931000,Container Ship
1068,NA,NA,78360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80820,248955000,Container Ship
1069,NA,26820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28020,249210000,Tanker
1070,NA,12960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12960,249210000,Tanker
1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140400,249560000,Tug/Supply Vessel
1072,NA,NA,78120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80580,249715000,Container Ship
1074,NA,NA,NA,NA,NA,NA,NA,14040,NA,NA,NA,NA,NA,NA,18600,255802440,Tanker
1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48060,NA,NA,NA,51180,255802440,Tanker
1076,NA,NA,28140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29940,255802850,General Cargo
1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55380,255803940,Container Ship
1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47100,255803940,Container Ship
1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51900,255803950,Container Ship
1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70020,255803950,Container Ship
1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51960,255803960,General Cargo
1083,NA,NA,53580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55920,255805600,Container Ship
1084,NA,NA,59100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61380,255805600,Container Ship
1085,NA,NA,62280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64620,255805601,Container Ship
1086,NA,NA,55320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58020,255805601,Container Ship
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121740,256210000,Tanker
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23460,NA,NA,NA,52500,256252000,General Cargo
1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84480,256252000,General Cargo
1091,NA,NA,NA,NA,NA,NA,NA,12360,NA,NA,NA,NA,NA,NA,83880,256462000,Tanker
1092,NA,NA,21600,NA,NA,NA,NA,135120,NA,NA,NA,NA,NA,NA,390720,256462000,Tanker
1093,NA,NA,21660,NA,NA,NA,NA,711960,NA,NA,NA,NA,NA,NA,1539180,256462000,Tanker
1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98580,256462000,Tanker
1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17460,256462000,Tanker
1096,NA,NA,NA,NA,NA,NA,NA,18720,NA,NA,NA,NA,NA,NA,22740,256678000,Bulk Carrier
1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,256682000,Bulk Carrier
1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27420,256934000,Tanker
1100,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,264060,257146000,Trawler
1102,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,46020,257146000,Trawler
1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5100,NA,5700,258083950,Pleasure Craft
1107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5580,259861000,LNG Tanker
1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35400,259889000,Multi Purpose Offshore Vessel
1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,80340,NA,NA,NA,NA,82920,261522000,Trawler
1110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297600,263141000,Pleasure Craft
1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2160,NA,5820,263921540,Pleasure Craft
1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288120,NA,288120,265551760,Pleasure Craft
1113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1817700,NA,1817700,265551760,Pleasure Craft
1114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99720,NA,99720,265551760,Pleasure Craft
1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15780,NA,15780,265551760,Pleasure Craft
1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632460,NA,632460,265603100,Pleasure Craft
1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649140,NA,649140,265603100,Pleasure Craft
1118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216660,NA,216660,265603100,Pleasure Craft
1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,2340,265636940,Pleasure Craft
1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142440,NA,143700,265698560,Pleasure Craft
1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8280,NA,8280,265698560,Pleasure Craft
1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947820,NA,947820,265698560,Pleasure Craft
1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41040,NA,41040,265698560,Pleasure Craft
1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467100,NA,467100,265698560,Pleasure Craft
1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900,NA,99900,265698560,Pleasure Craft
1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33840,NA,33840,265698560,Pleasure Craft
1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15660,NA,15660,265698560,Pleasure Craft
1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42480,NA,42480,265698560,Pleasure Craft
1136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41280,NA,41280,265698560,Pleasure Craft
1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26460,NA,26460,265698560,Pleasure Craft
1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,15300,265698560,Pleasure Craft
1139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20160,NA,20160,265698560,Pleasure Craft
1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12840,NA,12840,265698560,Pleasure Craft
1141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26640,NA,26640,265698560,Pleasure Craft
1142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21600,NA,21600,265698560,Pleasure Craft
1143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32760,NA,32760,265698560,Pleasure Craft
1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425940,NA,427260,265708930,Pleasure Craft
1148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,266201000,Tanker
1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5040,266201000,Tanker
1151,NA,NA,NA,NA,NA,NA,NA,21120,NA,NA,NA,NA,NA,NA,25500,271000601,General Cargo
1156,NA,NA,NA,NA,NA,78180,NA,NA,NA,NA,NA,NA,NA,NA,78180,273250200,Factory Trawler
1158,NA,NA,NA,NA,NA,49920,NA,NA,NA,NA,NA,NA,NA,NA,49920,273250200,Factory Trawler
1159,NA,NA,NA,NA,NA,704340,NA,NA,NA,NA,NA,NA,NA,NA,704340,273250200,Factory Trawler
1160,NA,NA,NA,NA,NA,1108680,NA,NA,NA,NA,NA,NA,NA,NA,1108680,273250200,Factory Trawler
1161,NA,NA,NA,NA,NA,118320,NA,NA,NA,NA,NA,NA,NA,NA,118320,273250200,Factory Trawler
1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632700,273290500,Factory Trawler
1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194580,273290500,Factory Trawler
1164,NA,NA,NA,NA,NA,7560,NA,NA,NA,NA,NA,NA,NA,NA,1294440,273290500,Factory Trawler
1165,NA,NA,NA,NA,NA,65520,NA,NA,NA,NA,NA,NA,NA,NA,66060,273290500,Factory Trawler
