TRIP_ID	MMSI	VESSEL_TYPE	duration_total	duration_segment	speed_avg	speed_max	speed_upperquartile	distance_total	distance_segment	time_diff_avg	hour_min	hour_max	day_min	day_max	area_1	area_2	area_3	area_4	area_5	area_6	area_7	area_8	area_9	area_10	area_11	area_12	area_13	area_14	area_15	area_1_p	area_2_p	area_3_p	area_4_p	area_5_p	area_6_p	area_7_p	area_8_p	area_9_p	area_10_p	area_11_p	area_12_p	area_13_p	area_14_p	area_15_p	Night	Morning	Afternoon	Evening	In-week	Weekend	speed_avg_out
1522.0	567312000	Bulk Carrier	92940.0	761.8032786885246	1.3195726578778872	7.203056426192593	5.244403371423763	31139.34907280956	255.24056617057016	761.8032786885246	0	23	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57060.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6139444803098774	0.822	0.0	0.156	0.022	1.0	0.0	2.408756657003415
1530.0	622120320	Bulk Carrier	28980.0	452.8125	2.4595804915267934	6.371241702297824	5.573441587409723	27672.948114694165	432.38981429209633	452.8125	8	16	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.659	0.341	0.0	0.0	1.0	2.4595804915267934
1531.0	636007622	Bulk Carrier	20940.0	312.53731343283584	2.1362503465273353	7.115494732517265	6.074748484130646	25452.38261268872	379.8863076520705	312.53731343283584	7	12	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.705	0.295	0.0	0.0	1.0	2.1362503465273353
1535.0	636011537	Bulk Carrier	26700.0	468.42105263157896	2.520679796775392	7.700449588460993	6.1798348736293	26556.31000775207	465.9001755745977	468.42105263157896	14	21	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058426966292134834	0.0	0.0	0.606	0.394	1.0	0.0	2.700448781127502
1536.0	636013296	Tanker	55740.0	563.030303030303	1.748600770305508	8.45918913084336	6.336386673788686	31817.106091505706	321.3849100152092	563.030303030303	7	22	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.714	0.0	0.286	0.0	1.0	1.748600770305508
1537.0	636013308	Tanker	8520.0	177.5	1.8224999808271514	4.331015832579331	3.3228565439622675	15089.081771908215	314.3558702480878	177.5	21	23	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2323943661971831	0.0	0.0	0.0	1.0	1.0	0.0	1.8017308781924828
1538.0	636013411	Tanker	51960.0	455.7894736842105	1.2736210649978037	8.214524694168459	5.515781834813636	26642.189247871855	233.7034144550163	455.7894736842105	0	23	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10046189376443418	0.368	0.105	0.526	0.0	0.0	1.0	1.3195983227182428
1540.0	636013947	Tanker	41640.0	495.7142857142857	1.6045142469108262	8.919914614530995	4.80360558731991	23628.373327987225	281.29015866651463	495.7142857142857	0	23	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.111	0.689	0.0	1.0	1.6045142469108262
1541.0	636014349	Tanker	74520.0	677.4545454545455	1.4373220194157197	7.515290566340981	3.576920101524463	29373.209461137532	267.0291769194321	677.4545454545455	0	23	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.08	0.0	0.0	1.0	0.0	1.4373220194157197
1542.0	636014470	Tanker	41700.0	534.6153846153846	1.8503646314467004	7.762917719268419	6.691903173433817	26425.758180015822	338.7917715386644	534.6153846153846	0	23	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.667	0.0	0.0	1.0	1.8503646314467004
1544.0	636014613	Container Ship	92640.0	975.1578947368421	0.9693888954981481	9.10423290584618	4.549413042493896	16283.1348735809	171.4014197219042	975.1578947368421	0	23	1.0	2.0	0.0	0.0	88980.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e4	0.0	0.0	0.9604922279792746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9715025906735751	0.0	0.0	1.0	0.0	1.0	0.0	5.006095144270755
1545.0	636014613	Container Ship	11760.0	1306.6666666666667	0.005046859146671931	0.011900721918910435	0.009859381095207969	59.855301935062386	6.650589103895821	1306.6666666666667	20	23	2.0	2.0	0.0	0.0	11760.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11760.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1546.0	636014741	Container Ship	3540.0	168.57142857142858	5.1386791605795175	8.275369006402931	7.272131432644749	18418.445160020572	877.0688171438368	168.57142857142858	20	21	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	5.1386791605795175
1547.0	636014925	Bulk Carrier	5340.0	178.0	3.1356510312704566	6.9004889489937	4.655719907650098	16901.02998776121	563.3676662587069	178.0	21	22	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.1356510312704566
1548.0	636014987	Tanker	74820.0	628.7394957983194	1.4457974819426742	7.87982414393118	3.684919506380687	32516.639700820233	273.2490731161364	628.7394957983194	0	23	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.237	0.763	0.0	0.0	1.0	0.0	1.4457974819426742
