imo,MMSI,ais.type,call.Sign,flag,gross.tonnage,deadweight,length,width,image.src,ship.type,name,vessel.type
9356098,477552700,Cargo - Hazard A (Major),VRKZ6,Hong Kong [HK],25904,34100,210,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=142445&size=,Container Ship,SAFMARINE NILE,Container Ship
9290608,258028000,Tanker,LAQZ7,Norway [NO],27547,46938,182,43,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=160129&size=,Chemical Tanker,CHAMPION EBONY,Tanker
9261023,538002179,Cargo,V7UJ8,Marshall Is [MH],19795,31829,176,82,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=708381&size=,General Cargo,THEBES,General Cargo
9433901,235070011,Tanker,2BWU6,United Kingdom [GB],29636,51747,183,31,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=410231&size=,Chemical Tanker,CPO KOREA,Tanker
9202651,357332000,Cargo - Hazard A (Major),3FGF9,Panama [PA],40631,56880,259,54,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1069451&size=,Container Ship,MSC REGINA,Container Ship
NA,246624000,Pleasure Craft,PH2346,Netherlands [NL],NA,NA,25,6,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=991281&size=,Pleasure Craft,TULIP,Pleasure Craft
9376440,244789000,Cargo,PHLG,Netherlands [NL],4106,6500,118,4,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1194638&size=,General Cargo,CFL PROSPECT,General Cargo
NA,635000440,Passenger,FGF2480,Antarctica [AQ],NA,NA,NA,NA,http://www.marinetraffic.com/img/no_photo.png,Passenger,SURFER 1859,Passenger
9452555,538004270,Cargo,V7WD4,Marshall Is [MH],34378,58502,196,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=577934&size=,Bulk Carrier,PLATON,Bulk Carrier
9283540,304604000,Cargo,V2CF1,Antigua Barbuda [AG],18825,27781,185,09,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=832028&size=,Bulk Carrier,HANSE GATE,Bulk Carrier
